timestamp,pair_id,scene,source,reference,src_gsd_m,ref_gsd_m,scale_ratio,d_sun_azimuth_deg,d_incidence_deg,d_sun_angle_deg,method,status,n_matches,inliers,rmse_gt_px,residual_median_px,success,truth,declared_method,matcher_err_px,declared_err_px,verdict,outcome,seconds,git_commit,command,notes
2026-09-19T11:01:38,miloi_S1_M1276733320LE_M1164944600RE,S1,M1276733320LE,M1164944600RE,1.1214956260514002,1.5295192605828998,1.3638,67.87,-38.57,70.38,ORB,ok,12,4,2352.065185546875,1978.5267333984375,0,network,,,,,,0.3,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1276733320LE_M1164944600RE,S1,M1276733320LE,M1164944600RE,1.1214956260514002,1.5295192605828998,1.3638,67.87,-38.57,70.38,AKAZE,ok,14,4,3054.55126953125,309.48077392578125,0,network,,,,,,0.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1276733320LE_M1259058367LE,S1,M1276733320LE,M1259058367LE,1.1214956260514002,1.1300839118756998,1.0077,21.52,-21.36,29.61,ours_loftr+subpixel,ok,1791,894,0.5961276888847351,2.6934409141540527,1,network,loftr+magsac++,0.5186113967120458,0.5186113967120458,agrees,correct_accepted,61.9,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 17, 'weak': 28, 'no_evidence': 19}"
2026-09-19T11:01:38,miloi_S1_M1276733320LE_M1259058367LE,S1,M1276733320LE,M1259058367LE,1.1214956260514002,1.1300839118756998,1.0077,21.52,-21.36,29.61,SIFT,ok,90,37,0.7197573781013489,1.5737947225570679,1,network,,,,,,0.9,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1276733320LE_M1259058367LE,S1,M1276733320LE,M1259058367LE,1.1214956260514002,1.1300839118756998,1.0077,21.52,-21.36,29.61,ORB,ok,37,27,1.1509497165679932,0.6077709794044495,1,network,,,,,,0.3,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1276733320LE_M1259058367LE,S1,M1276733320LE,M1259058367LE,1.1214956260514002,1.1300839118756998,1.0077,21.52,-21.36,29.61,AKAZE,ok,53,23,2.027902126312256,1.7963390350341797,1,network,,,,,,0.4,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1154358210RE,S1,M1317830479LE,M1154358210RE,1.0086093836379997,1.4717472062025,1.4592,22.7,17.76,27.14,ours_loftr+subpixel,ok,6358,5349,0.4167863130569458,0.899020254611969,1,"network, leave-one-out",loftr+magsac++,0.4937337357487884,0.4937337357487884,agrees,correct_accepted,50.8,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 57, 'weak': 7, 'no_evidence': 0}"
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1154358210RE,S1,M1317830479LE,M1154358210RE,1.0086093836379997,1.4717472062025,1.4592,22.7,17.76,27.14,SIFT,ok,84,68,0.6430772542953491,0.8267518877983093,1,"network, leave-one-out",,,,,,0.5,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1154358210RE,S1,M1317830479LE,M1154358210RE,1.0086093836379997,1.4717472062025,1.4592,22.7,17.76,27.14,ORB,ok,144,122,0.3072224259376526,1.089299201965332,1,"network, leave-one-out",,,,,,0.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1154358210RE,S1,M1317830479LE,M1154358210RE,1.0086093836379997,1.4717472062025,1.4592,22.7,17.76,27.14,AKAZE,ok,70,57,0.5433570742607117,1.506615161895752,1,"network, leave-one-out",,,,,,0.3,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1259058367LE,S1,M1317830479LE,M1259058367LE,1.0086093836379997,1.1300839118756998,1.1204,10.57,6.45,11.19,ours_loftr+subpixel,ok,3929,2964,0.51067054271698,0.8603252172470093,1,"network, leave-one-out",loftr+magsac++,0.4517000526654728,0.4517000526654728,agrees,correct_accepted,69.0,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 52, 'weak': 11, 'no_evidence': 1}"
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1259058367LE,S1,M1317830479LE,M1259058367LE,1.0086093836379997,1.1300839118756998,1.1204,10.57,6.45,11.19,SIFT,ok,1268,1212,0.3392941653728485,0.400865375995636,1,"network, leave-one-out",,,,,,1.3,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1259058367LE,S1,M1317830479LE,M1259058367LE,1.0086093836379997,1.1300839118756998,1.1204,10.57,6.45,11.19,ORB,ok,874,829,0.63802170753479,0.912246584892273,1,"network, leave-one-out",,,,,,0.5,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1259058367LE,S1,M1317830479LE,M1259058367LE,1.0086093836379997,1.1300839118756998,1.1204,10.57,6.45,11.19,AKAZE,ok,830,788,0.3145008385181427,0.4868364632129669,1,"network, leave-one-out",,,,,,0.6,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1276733320LE,S1,M1317830479LE,M1276733320LE,1.0086093836379997,1.1214956260514002,1.1119,32.09,27.81,40.77,ours_loftr+subpixel,ok,1369,459,0.7600855827331543,166.02304077148438,1,network,loftr+magsac++,0.7333548811961671,0.7333548811961671,agrees,correct_accepted,72.0,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 10, 'weak': 32, 'no_evidence': 22}"
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1276733320LE,S1,M1317830479LE,M1276733320LE,1.0086093836379997,1.1214956260514002,1.1119,32.09,27.81,40.77,SIFT,ok,42,5,9753.927734375,626.2664794921875,0,network,,,,,,1.0,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1276733320LE,S1,M1317830479LE,M1276733320LE,1.0086093836379997,1.1214956260514002,1.1119,32.09,27.81,40.77,ORB,ok,16,4,4632.83203125,435.2359619140625,0,network,,,,,,0.4,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1317830479LE_M1276733320LE,S1,M1317830479LE,M1276733320LE,1.0086093836379997,1.1214956260514002,1.1119,32.09,27.81,40.77,AKAZE,ok,17,4,302.3818359375,431.6593933105469,0,network,,,,,,0.4,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:38,miloi_S1_M1389516184RE_M1154358210RE,S1,M1389516184RE,M1154358210RE,1.0015777946681,1.4717472062025,1.4694,67.15,31.06,63.17,ours_loftr+subpixel,ok,1066,183,1.5009353160858154,102.13113403320312,1,network,loftr+magsac++,1.222504101214558,1.222504101214558,agrees,correct_accepted,31.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 6, 'weak': 22, 'no_evidence': 36}"
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1154358210RE,S1,M1389516184RE,M1154358210RE,1.0015777946681,1.4717472062025,1.4694,67.15,31.06,63.17,SIFT,ok,17,4,4435.9208984375,592.21923828125,0,network,,,,,,0.4,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1154358210RE,S1,M1389516184RE,M1154358210RE,1.0015777946681,1.4717472062025,1.4694,67.15,31.06,63.17,ORB,ok,18,5,386.70281982421875,178.37930297851562,0,network,,,,,,0.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1154358210RE,S1,M1389516184RE,M1154358210RE,1.0015777946681,1.4717472062025,1.4694,67.15,31.06,63.17,AKAZE,ok,20,4,715.5855102539062,211.00750732421875,0,network,,,,,,0.2,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,
2026-09-19T11:01:39,miloi_S1_M1389516184RE_M1259058367LE,S1,M1389516184RE,M1259058367LE,1.0015777946681,1.1300839118756998,1.1283,55.02,19.75,47.2,ours_loftr+subpixel,ok,949,14,6562.41259765625,357.9247741699219,0,network,fft_phase_correlation (fallback),13235.505704207602,76.10721836167761,contradicted,caught_failure,48.4,"run e10deb0, scored 12245b2",python -m evaluation.miloi --score --log,"reliability {'verified': 0, 'weak': 4, 'no_evidence': 60}"
