timestamp,pair_id,tier,method,config,rmse_gt_px,residual_px,inlier_count,inlier_ratio,grid_coverage_fraction,distribution_cv,n_matches,gsd_mpp,status,notes
2026-09-19T19:05:06.128408+00:00,synthetic_d015_x+9.88_y-11.68_s2,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+9.8793,-11.6781); rot=0; scale=1; seed=2; detector=SIFT (classical baseline)",0.3779037594795227,69.09510040283203,78,0.9176470588235294,0.578125,1.3091997344840762,85,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+9.88,-11.68); SIFT_time=0.113s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.154846+00:00,synthetic_d015_x+9.88_y-11.68_s2,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+9.8793,-11.6781); rot=0; scale=1; seed=2; detector=ORB (classical baseline)",0.34708139300346375,10.2235746383667,114,0.95,0.359375,2.0277393040363663,120,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+9.88,-11.68); ORB_time=0.009s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.228002+00:00,synthetic_d015_x+9.88_y-11.68_s2,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+9.8793,-11.6781); rot=0; scale=1; seed=2; detector=AKAZE (classical baseline)",0.7587869167327881,2.265880584716797,25,0.9259259259259259,0.203125,2.462843884617943,27,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+9.88,-11.68); AKAZE_time=0.071s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.353486+00:00,synthetic_d015_x+7.77_y-12.42_s3,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+7.7678,-12.4183); rot=0; scale=1; seed=3; detector=SIFT (classical baseline)",0.3061996400356293,9.399258613586426,74,0.9135802469135802,0.546875,1.299266523429396,81,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+7.77,-12.42); SIFT_time=0.072s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.366126+00:00,synthetic_d015_x+7.77_y-12.42_s3,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+7.7678,-12.4183); rot=0; scale=1; seed=3; detector=ORB (classical baseline)",0.35974958539009094,0.9988407492637634,106,0.954954954954955,0.328125,2.2138275442930095,111,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+7.77,-12.42); ORB_time=0.009s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.430508+00:00,synthetic_d015_x+7.77_y-12.42_s3,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+7.7678,-12.4183); rot=0; scale=1; seed=3; detector=AKAZE (classical baseline)",1.1911356449127197,1.772420883178711,26,0.9285714285714286,0.203125,2.56397435576907,28,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+7.77,-12.42); AKAZE_time=0.059s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.648138+00:00,synthetic_d015_x+18.06_y-9.12_s4,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+18.0567,-9.1241); rot=0; scale=1; seed=4; detector=SIFT (classical baseline)",0.2465633749961853,1.2469830513000488,76,0.8837209302325582,0.59375,1.2532506210305956,86,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+18.06,-9.12); SIFT_time=0.072s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.658564+00:00,synthetic_d015_x+18.06_y-9.12_s4,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+18.0567,-9.1241); rot=0; scale=1; seed=4; detector=ORB (classical baseline)",1.0075500011444092,1.1052042245864868,125,0.9689922480620154,0.390625,1.987979879173831,129,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+18.06,-9.12); ORB_time=0.007s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.778652+00:00,synthetic_d015_x+18.06_y-9.12_s4,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=15deg at fixed 30deg elevation; shift=(+18.0567,-9.1241); rot=0; scale=1; seed=4; detector=AKAZE (classical baseline)",2.2765636444091797,1.6173245906829834,25,0.9615384615384616,0.171875,2.7384667242820386,26,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 15 deg; shift=(+18.06,-9.12); AKAZE_time=0.114s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.903540+00:00,synthetic_d030_x+12.37_y-8.63_s0,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+12.3700,-8.6300); rot=0; scale=1; seed=0; detector=SIFT (classical baseline)",240.19302368164062,100.77111053466797,5,0.45454545454545453,0.046875,5.211525688318153,11,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+12.37,-8.63); SIFT_time=0.067s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:06.940590+00:00,synthetic_d030_x+12.37_y-8.63_s0,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+12.3700,-8.6300); rot=0; scale=1; seed=0; detector=ORB (classical baseline)",3.142075300216675,1.6136668920516968,27,0.84375,0.21875,2.248913775297817,32,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+12.37,-8.63); ORB_time=0.030s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:07.038680+00:00,synthetic_d030_x+12.37_y-8.63_s0,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+12.3700,-8.6300); rot=0; scale=1; seed=0; detector=AKAZE (classical baseline)",433.8583679199219,,4,1.0,0.03125,6.244997998398398,4,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+12.37,-8.63); AKAZE_time=0.097s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:07.235263+00:00,synthetic_d030_x+12.88_y-3.85_s1,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+12.8819,-3.8544); rot=0; scale=1; seed=1; detector=SIFT (classical baseline)",241.8072509765625,254.2308807373047,8,0.4444444444444444,0.046875,6.082762530298219,18,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+12.88,-3.85); SIFT_time=0.153s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:07.245196+00:00,synthetic_d030_x+12.88_y-3.85_s1,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+12.8819,-3.8544); rot=0; scale=1; seed=1; detector=ORB (classical baseline)",1.355279564857483,50.32830047607422,29,0.7631578947368421,0.234375,2.465215800236569,38,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+12.88,-3.85); ORB_time=0.009s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:07.297287+00:00,synthetic_d030_x+12.88_y-3.85_s1,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+12.8819,-3.8544); rot=0; scale=1; seed=1; detector=AKAZE (classical baseline)",,,0,0.0,,,3,60.0,too_few_matches,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+12.88,-3.85); AKAZE_time=0.051s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:07.583269+00:00,synthetic_d030_x+9.88_y-11.68_s2,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+9.8793,-11.6781); rot=0; scale=1; seed=2; detector=SIFT (classical baseline)",206.91009521484375,178.3426971435547,6,0.3157894736842105,0.046875,4.8876260995383936,19,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+9.88,-11.68); SIFT_time=0.203s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:07.593834+00:00,synthetic_d030_x+9.88_y-11.68_s2,synthetic,ORB,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+9.8793,-11.6781); rot=0; scale=1; seed=2; detector=ORB (classical baseline)",2.7320995330810547,1.5642145872116089,29,0.8285714285714286,0.203125,2.6439530092010446,35,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+9.88,-11.68); ORB_time=0.007s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:07.689768+00:00,synthetic_d030_x+9.88_y-11.68_s2,synthetic,AKAZE,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+9.8793,-11.6781); rot=0; scale=1; seed=2; detector=AKAZE (classical baseline)",,,0,0.0,,,3,60.0,too_few_matches,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+9.88,-11.68); AKAZE_time=0.094s. Raw matches to evaluate(), pre-RANSAC."
2026-09-19T19:05:07.918273+00:00,synthetic_d030_x+7.77_y-12.42_s3,synthetic,SIFT,"dem=dem_site_60m.npy (375, 364); d_azimuth=30deg at fixed 30deg elevation; shift=(+7.7678,-12.4183); rot=0; scale=1; seed=3; detector=SIFT (classical baseline)",320.22418212890625,117.53880310058594,6,0.3333333333333333,0.0625,4.509249752822894,18,60.0,ok,"GATE 2 CRITERION 5: classical arm, on the SAME pair our matcher ran on (regenerated by core.pipeline._synthetic_pair, byte-identical). sun azimuth difference 30 deg; shift=(+7.77,-12.42); SIFT_time=0.108s. Raw matches to evaluate(), pre-RANSAC."
