ProductId,UTCstart,UTCend,CenterLat,CenterLon,MinLat,MaxLat,WestLon,EastLon,ExtURL,ProdURL,FilesURL,LabelURL
nac.m1378481557le,2021-06-16T11:18:10.68900,2021-06-16T11:19:03.76400,-1.0,160.2829,-85.08,-83.96,145.38,172.99,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1378481557LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1378481557le&product_idGeo=29251169,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1378481557le&product_idGeo=29251169,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021167/NAC/M1378481557LE.xml
nac.m1378481557re,2021-06-16T11:18:10.68900,2021-06-16T11:19:03.76400,-1.0,160.8693,-85.21,-84.08,145.61,173.78,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1378481557RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1378481557re&product_idGeo=29251173,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1378481557re&product_idGeo=29251173,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021167/NAC/M1378481557RE.xml
nac.m1378544868le,2021-06-17T04:53:21.24300,2021-06-17T04:54:14.31700,-1.0,145.2644,-85.39,-84.52,128.91,159.71,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1378544868LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1378544868le&product_idGeo=29253405,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1378544868le&product_idGeo=29253405,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021168/NAC/M1378544868LE.xml
nac.m1378544868re,2021-06-17T04:53:21.24300,2021-06-17T04:54:14.31700,-1.0,145.7767,-85.53,-84.63,128.96,160.51,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1378544868RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1378544868re&product_idGeo=29253408,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1378544868re&product_idGeo=29253408,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021168/NAC/M1378544868RE.xml
nac.m1388005872re,2021-10-04T16:56:45.29000,2021-10-04T16:57:38.36500,-1.0,166.171,-84.64,-82.54,155.98,173.74,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1388005872RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1388005872re&product_idGeo=29259213,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1388005872re&product_idGeo=29259213,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0049A/DATA/ESM4/2021277/NAC/M1388005872RE.xml
nac.m1371158062le,2021-03-23T16:59:55.61500,2021-03-23T17:00:48.68900,-1.0,156.7942,-84.96,-83.74,144.71,171.23,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1371158062LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1371158062le&product_idGeo=29297047,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1371158062le&product_idGeo=29297047,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047A/DATA/ESM4/2021082/NAC/M1371158062LE.xml
nac.m1371256446le,2021-03-24T20:19:40.01700,2021-03-24T20:20:33.09200,-1.0,144.8303,-85.03,-83.94,132.06,159.79,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1371256446LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1371256446le&product_idGeo=29300803,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1371256446le&product_idGeo=29300803,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047A/DATA/ESM4/2021083/NAC/M1371256446LE.xml
nac.m1371256446re,2021-03-24T20:19:40.01700,2021-03-24T20:20:33.09200,-1.0,145.2604,-84.91,-83.84,132.68,159.9,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1371256446RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1371256446re&product_idGeo=29300807,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1371256446re&product_idGeo=29300807,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047A/DATA/ESM4/2021083/NAC/M1371256446RE.xml
nac.m1371270547le,2021-03-25T00:14:40.76400,2021-03-25T00:15:33.83900,-1.0,169.7107,-85.0885,-84.62,153.75,184.98,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1371270547LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1371270547le&product_idGeo=29301876,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1371270547le&product_idGeo=29301876,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047A/DATA/ESM4/2021084/NAC/M1371270547LE.xml
nac.m1371270547re,2021-03-25T00:14:40.76400,2021-03-25T00:15:33.83900,-1.0,169.5347,-84.9677,-84.51,153.96,184.47,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1371270547RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1371270547re&product_idGeo=29301879,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1371270547re&product_idGeo=29301879,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047A/DATA/ESM4/2021084/NAC/M1371270547RE.xml
